ts_utc_seconds,funding_rate_per_8h,source
1477540800,0.000774,bitmex_XBTUSD
1477569600,0.001228,bitmex_XBTUSD
1477598400,0.00015,bitmex_XBTUSD
1477627200,0.000399,bitmex_XBTUSD
1477656000,0.001096,bitmex_XBTUSD
1477684800,0.000335,bitmex_XBTUSD
1477713600,0.000825,bitmex_XBTUSD
1477742400,0.001719,bitmex_XBTUSD
1477771200,0.002944,bitmex_XBTUSD
1477800000,0.001713,bitmex_XBTUSD
1477828800,0.000387,bitmex_XBTUSD
1477857600,9e-05,bitmex_XBTUSD
1477886400,-0.000259,bitmex_XBTUSD
1477915200,9.1e-05,bitmex_XBTUSD
1477944000,0.000742,bitmex_XBTUSD
1477972800,9.2e-05,bitmex_XBTUSD
1478001600,0.000496,bitmex_XBTUSD
1478030400,0.00375,bitmex_XBTUSD
1478059200,0.00375,bitmex_XBTUSD
1478088000,0.00375,bitmex_XBTUSD
1478116800,0.00375,bitmex_XBTUSD
1478145600,0.000983,bitmex_XBTUSD
1478174400,0.00375,bitmex_XBTUSD
1478203200,0.002656,bitmex_XBTUSD
1478232000,0.000484,bitmex_XBTUSD
1478260800,0.000235,bitmex_XBTUSD
1478289600,0.000247,bitmex_XBTUSD
1478318400,0.000154,bitmex_XBTUSD
1478347200,-0.000128,bitmex_XBTUSD
1478376000,0.000101,bitmex_XBTUSD
1478404800,0.000114,bitmex_XBTUSD
1478433600,0.000715,bitmex_XBTUSD
1478462400,0.002335,bitmex_XBTUSD
1478491200,-0.001065,bitmex_XBTUSD
1478520000,-0.000117,bitmex_XBTUSD
1478548800,0.000747,bitmex_XBTUSD
1478577600,0.000107,bitmex_XBTUSD
1478606400,-0.000664,bitmex_XBTUSD
1478635200,-0.000633,bitmex_XBTUSD
1478664000,0.0001,bitmex_XBTUSD
1478692800,0.000926,bitmex_XBTUSD
1478721600,0.001334,bitmex_XBTUSD
1478750400,0.001626,bitmex_XBTUSD
1478779200,0.001522,bitmex_XBTUSD
1478808000,0.000834,bitmex_XBTUSD
1478836800,0.001213,bitmex_XBTUSD
1478865600,0.001666,bitmex_XBTUSD
1478894400,0.001202,bitmex_XBTUSD
1478923200,0.000162,bitmex_XBTUSD
1478952000,0.000175,bitmex_XBTUSD
1478980800,0.000139,bitmex_XBTUSD
1479009600,0.000113,bitmex_XBTUSD
1479038400,0.00011,bitmex_XBTUSD
1479067200,0.00011,bitmex_XBTUSD
1479096000,0.00011,bitmex_XBTUSD
1479124800,0.000111,bitmex_XBTUSD
1479153600,0.000111,bitmex_XBTUSD
1479182400,0.000331,bitmex_XBTUSD
1479211200,0.000205,bitmex_XBTUSD
1479240000,0.000281,bitmex_XBTUSD
1479268800,0.000141,bitmex_XBTUSD
1479297600,0.000259,bitmex_XBTUSD
1479326400,0.000264,bitmex_XBTUSD
1479355200,0.00375,bitmex_XBTUSD
1479384000,0.00375,bitmex_XBTUSD
1479412800,0.00314,bitmex_XBTUSD
1479441600,0.001242,bitmex_XBTUSD
1479470400,0.001496,bitmex_XBTUSD
1479499200,0.001417,bitmex_XBTUSD
1479528000,0.000767,bitmex_XBTUSD
1479556800,0.002356,bitmex_XBTUSD
1479585600,0.000294,bitmex_XBTUSD
1479614400,-6e-05,bitmex_XBTUSD
1479643200,0.00026,bitmex_XBTUSD
1479672000,0.00027,bitmex_XBTUSD
1479700800,5e-06,bitmex_XBTUSD
1479729600,-0.000267,bitmex_XBTUSD
1479758400,0.000273,bitmex_XBTUSD
1479787200,-0.000106,bitmex_XBTUSD
1479816000,-0.000243,bitmex_XBTUSD
1479844800,0.000291,bitmex_XBTUSD
1479873600,0.000229,bitmex_XBTUSD
1479902400,0.001307,bitmex_XBTUSD
1479931200,0.00114,bitmex_XBTUSD
1479960000,0.000302,bitmex_XBTUSD
1479988800,0.000306,bitmex_XBTUSD
1480017600,0.00031,bitmex_XBTUSD
1480046400,-0.001222,bitmex_XBTUSD
1480075200,0.000346,bitmex_XBTUSD
1480104000,0.000375,bitmex_XBTUSD
1480132800,-0.001321,bitmex_XBTUSD
1480161600,-0.000404,bitmex_XBTUSD
1480190400,0.00041,bitmex_XBTUSD
1480219200,0.000464,bitmex_XBTUSD
1480248000,3.7e-05,bitmex_XBTUSD
1480276800,0.000265,bitmex_XBTUSD
1480305600,0.000274,bitmex_XBTUSD
1480334400,0.000256,bitmex_XBTUSD
1480363200,0.000299,bitmex_XBTUSD
